2025-03-04 14:13:50 | INFO | 程序启动
2025-03-04 14:13:50 | INFO | 开始读取电量数据文件
2025-03-04 14:13:50 | SUCCESS | 成功读取数据，共45条记录
2025-03-04 14:13:50 | INFO | 开始处理时间数据
2025-03-04 14:13:50 | DEBUG | 计算时间差和能量差
2025-03-04 14:13:50 | DEBUG | 计算功率数据
2025-03-04 14:13:50 | DEBUG | 计算中点时间
2025-03-04 14:13:50 | INFO | 清理无效数据
2025-03-04 14:13:50 | SUCCESS | 数据处理完成，剩余44条有效数据
2025-03-04 14:13:50 | INFO | 开始生成图表
2025-03-04 14:13:55 | INFO | 平均功率计算结果: 89.29瓦
2025-03-04 14:13:55 | INFO | 近5次平均功率: 98.42瓦
2025-03-04 14:13:55 | INFO | 近15次平均功率: 97.86瓦
2025-03-04 14:13:56 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:13:56 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:14:01 | INFO | 准备发送邮件
2025-03-04 14:14:06 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:14:06 | SUCCESS | 邮件发送成功
2025-03-04 14:14:06 | INFO | 程序执行完成
2025-03-04 14:18:45 | INFO | 程序启动
2025-03-04 14:18:45 | INFO | 开始读取电量数据文件
2025-03-04 14:18:45 | SUCCESS | 成功读取数据，共45条记录
2025-03-04 14:18:45 | INFO | 开始处理时间数据
2025-03-04 14:18:45 | DEBUG | 计算时间差和能量差
2025-03-04 14:18:45 | DEBUG | 计算功率数据
2025-03-04 14:18:45 | DEBUG | 计算中点时间
2025-03-04 14:18:45 | INFO | 清理无效数据
2025-03-04 14:18:45 | SUCCESS | 数据处理完成，剩余44条有效数据
2025-03-04 14:18:45 | INFO | 开始生成图表
2025-03-04 14:18:45 | INFO | 平均功率计算结果: 89.29瓦
2025-03-04 14:18:45 | INFO | 近5次平均功率: 98.42瓦
2025-03-04 14:18:45 | INFO | 近15次平均功率: 97.86瓦
2025-03-04 14:18:46 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:18:46 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:18:51 | INFO | 准备发送邮件
2025-03-04 14:18:51 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:18:51 | SUCCESS | 邮件发送成功
2025-03-04 14:18:51 | INFO | 程序执行完成
2025-03-04 14:20:09 | INFO | 程序启动
2025-03-04 14:20:09 | INFO | 开始读取电量数据文件
2025-03-04 14:20:09 | SUCCESS | 成功读取数据，共46条记录
2025-03-04 14:20:09 | INFO | 开始处理时间数据
2025-03-04 14:20:09 | DEBUG | 计算时间差和能量差
2025-03-04 14:20:09 | DEBUG | 计算功率数据
2025-03-04 14:20:09 | DEBUG | 计算中点时间
2025-03-04 14:20:09 | INFO | 清理无效数据
2025-03-04 14:20:09 | SUCCESS | 数据处理完成，剩余45条有效数据
2025-03-04 14:20:09 | INFO | 开始生成图表
2025-03-04 14:20:09 | INFO | 平均功率计算结果: 89.98瓦
2025-03-04 14:20:09 | INFO | 近5次平均功率: 92.16瓦
2025-03-04 14:20:09 | INFO | 近15次平均功率: 99.18瓦
2025-03-04 14:20:10 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:20:10 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:20:15 | INFO | 准备发送邮件
2025-03-04 14:20:16 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:20:16 | SUCCESS | 邮件发送成功
2025-03-04 14:20:16 | INFO | 程序执行完成
2025-03-04 14:29:30 | INFO | 程序启动
2025-03-04 14:29:30 | INFO | 开始读取电量数据文件
2025-03-04 14:29:30 | SUCCESS | 成功读取数据，共46条记录
2025-03-04 14:29:30 | INFO | 开始处理时间数据
2025-03-04 14:29:30 | DEBUG | 计算时间差和能量差
2025-03-04 14:29:30 | DEBUG | 计算功率数据
2025-03-04 14:29:30 | DEBUG | 计算中点时间
2025-03-04 14:29:30 | INFO | 清理无效数据
2025-03-04 14:29:30 | SUCCESS | 数据处理完成，剩余45条有效数据
2025-03-04 14:29:30 | INFO | 开始生成图表
2025-03-04 14:29:30 | INFO | 平均功率计算结果: 89.98瓦
2025-03-04 14:29:30 | INFO | 近5次平均功率: 92.16瓦
2025-03-04 14:29:30 | INFO | 近15次平均功率: 99.18瓦
2025-03-04 14:29:30 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:29:31 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:29:36 | INFO | 准备发送邮件
2025-03-04 14:29:36 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:29:36 | SUCCESS | 邮件发送成功
2025-03-04 14:29:36 | INFO | 程序执行完成
2025-03-04 14:37:32 | INFO | 程序启动
2025-03-04 14:37:32 | INFO | 开始读取电量数据文件
2025-03-04 14:37:32 | SUCCESS | 成功读取数据，共47条记录
2025-03-04 14:37:32 | INFO | 开始处理时间数据
2025-03-04 14:37:32 | DEBUG | 计算时间差和能量差
2025-03-04 14:37:32 | DEBUG | 计算功率数据
2025-03-04 14:37:32 | DEBUG | 计算中点时间
2025-03-04 14:37:32 | INFO | 清理无效数据
2025-03-04 14:37:32 | SUCCESS | 数据处理完成，剩余46条有效数据
2025-03-04 14:37:32 | INFO | 开始生成图表
2025-03-04 14:37:32 | INFO | 平均功率计算结果: 89.91瓦
2025-03-04 14:37:32 | INFO | 近5次平均功率: 81.57瓦
2025-03-04 14:37:32 | INFO | 近15次平均功率: 98.94瓦
2025-03-04 14:37:33 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:37:33 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:37:38 | INFO | 准备发送邮件
2025-03-04 14:37:38 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:37:38 | SUCCESS | 邮件发送成功
2025-03-04 14:37:38 | INFO | 程序执行完成
2025-03-04 14:41:28 | INFO | 程序启动
2025-03-04 14:41:28 | INFO | 开始读取电量数据文件
2025-03-04 14:41:28 | ERROR | 读取文件时发生未知错误: Error tokenizing data. C error: Expected 2 fields in line 46, saw 3

2025-03-04 14:47:11 | INFO | 程序启动
2025-03-04 14:47:11 | INFO | 开始读取电量数据文件
2025-03-04 14:47:11 | SUCCESS | 成功读取数据，共47条记录
2025-03-04 14:47:11 | INFO | 开始处理时间数据
2025-03-04 14:47:11 | DEBUG | 计算时间差和能量差
2025-03-04 14:47:11 | DEBUG | 计算功率数据
2025-03-04 14:47:11 | DEBUG | 计算中点时间
2025-03-04 14:47:11 | INFO | 清理无效数据
2025-03-04 14:47:11 | SUCCESS | 数据处理完成，剩余46条有效数据
2025-03-04 14:47:11 | INFO | 开始生成图表
2025-03-04 14:47:11 | INFO | 平均功率计算结果: 89.86瓦
2025-03-04 14:47:11 | INFO | 近5次平均功率: 81.24瓦
2025-03-04 14:47:11 | INFO | 近15次平均功率: 98.80瓦
2025-03-04 14:47:12 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:47:12 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:47:17 | INFO | 准备发送邮件
2025-03-04 14:47:18 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:47:18 | SUCCESS | 邮件发送成功
2025-03-04 14:47:18 | INFO | 程序执行完成
2025-03-04 14:50:04 | INFO | 程序启动
2025-03-04 14:50:04 | INFO | 开始读取电量数据文件
2025-03-04 14:50:04 | SUCCESS | 成功读取数据，共48条记录
2025-03-04 14:50:04 | INFO | 开始处理时间数据
2025-03-04 14:50:04 | DEBUG | 计算时间差和能量差
2025-03-04 14:50:04 | DEBUG | 计算功率数据
2025-03-04 14:50:04 | DEBUG | 计算中点时间
2025-03-04 14:50:04 | INFO | 清理无效数据
2025-03-04 14:50:04 | SUCCESS | 数据处理完成，剩余47条有效数据
2025-03-04 14:50:04 | INFO | 开始生成图表
2025-03-04 14:50:04 | INFO | 平均功率计算结果: 89.85瓦
2025-03-04 14:50:04 | INFO | 近5次平均功率: 76.09瓦
2025-03-04 14:50:04 | INFO | 近15次平均功率: 101.39瓦
2025-03-04 14:50:04 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:50:05 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:50:10 | INFO | 准备发送邮件
2025-03-04 14:50:10 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:50:10 | SUCCESS | 邮件发送成功
2025-03-04 14:50:10 | INFO | 程序执行完成
2025-03-04 14:51:46 | INFO | 程序启动
2025-03-04 14:51:46 | INFO | 开始读取电量数据文件
2025-03-04 14:51:46 | SUCCESS | 成功读取数据，共47条记录
2025-03-04 14:51:46 | INFO | 开始处理时间数据
2025-03-04 14:51:46 | DEBUG | 计算时间差和能量差
2025-03-04 14:51:46 | DEBUG | 计算功率数据
2025-03-04 14:51:46 | DEBUG | 计算中点时间
2025-03-04 14:51:46 | INFO | 清理无效数据
2025-03-04 14:51:46 | SUCCESS | 数据处理完成，剩余46条有效数据
2025-03-04 14:51:46 | INFO | 开始生成图表
2025-03-04 14:51:46 | INFO | 平均功率计算结果: 89.84瓦
2025-03-04 14:51:46 | INFO | 近5次平均功率: 81.09瓦
2025-03-04 14:51:46 | INFO | 近15次平均功率: 98.73瓦
2025-03-04 14:51:46 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 14:51:47 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 14:51:52 | INFO | 准备发送邮件
2025-03-04 14:51:52 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 14:51:52 | SUCCESS | 邮件发送成功
2025-03-04 14:51:52 | INFO | 程序执行完成
2025-03-04 15:02:16 | INFO | 程序启动
2025-03-04 15:02:16 | INFO | 开始读取电量数据文件
2025-03-04 15:02:16 | SUCCESS | 成功读取数据，共47条记录
2025-03-04 15:02:16 | INFO | 开始处理时间数据
2025-03-04 15:02:16 | DEBUG | 计算时间差和能量差
2025-03-04 15:02:16 | DEBUG | 计算功率数据
2025-03-04 15:02:16 | DEBUG | 计算中点时间
2025-03-04 15:02:16 | INFO | 清理无效数据
2025-03-04 15:02:16 | SUCCESS | 数据处理完成，剩余46条有效数据
2025-03-04 15:02:16 | INFO | 开始生成图表
2025-03-04 15:02:16 | INFO | 平均功率计算结果: 89.79瓦
