2025-03-04 15:06:03 | INFO | ====== 程序启动 ======
2025-03-04 15:06:03 | INFO | ====== 主程序开始执行 ======
2025-03-04 15:06:03 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 15:06:03 | DEBUG | 第 1 次尝试请求接口
2025-03-04 15:06:04 | SUCCESS | 成功获取有效电费数据
2025-03-04 15:06:04 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 15:06:04 | DEBUG | 进入数据保存流程
2025-03-04 15:06:04 | INFO | ====== 程序正常结束 ======
2025-03-04 16:28:01 | INFO | ====== 程序启动 ======
2025-03-04 16:28:01 | INFO | ====== 主程序开始执行 ======
2025-03-04 16:28:01 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 16:28:01 | DEBUG | 第 1 次尝试请求接口
2025-03-04 16:28:01 | WARNING | Cookie 已过期，触发更新流程
2025-03-04 16:28:01 | DEBUG | 开始执行登录流程
2025-03-04 16:28:02 | SUCCESS | 登录成功，获取到 id_token
2025-03-04 16:28:02 | DEBUG | 正在获取 cookies部分1
2025-03-04 16:28:02 | SUCCESS | 成功获取到 cookies部分1
2025-03-04 16:28:02 | DEBUG | 正在获取 cookies部分2
2025-03-04 16:28:03 | SUCCESS | 成功获取到 cookies部分2
2025-03-04 16:28:03 | DEBUG | 正在获取 cookies部分3
2025-03-04 16:28:04 | SUCCESS | 成功获取到 cookies部分3
2025-03-04 16:28:04 | INFO | Cookie 更新完成，等待重试...
2025-03-04 16:28:14 | DEBUG | 第 2 次尝试请求接口
2025-03-04 16:28:15 | SUCCESS | 成功获取有效电费数据
2025-03-04 16:28:15 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 16:28:15 | DEBUG | 进入数据保存流程
2025-03-04 16:28:15 | INFO | ====== 程序正常结束 ======
2025-03-04 16:41:33 | INFO | ====== 程序启动 ======
2025-03-04 16:41:33 | INFO | ====== 主程序开始执行 ======
2025-03-04 16:41:33 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 16:41:33 | DEBUG | 第 1 次尝试请求接口
2025-03-04 16:41:33 | SUCCESS | 成功获取有效电费数据
2025-03-04 16:41:34 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 16:41:34 | DEBUG | 进入数据保存流程
2025-03-04 16:41:34 | INFO | ====== 程序正常结束 ======
2025-03-04 16:57:02 | INFO | ====== 程序启动 ======
2025-03-04 16:57:02 | INFO | ====== 主程序开始执行 ======
2025-03-04 16:57:02 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 16:57:02 | DEBUG | 第 1 次尝试请求接口
2025-03-04 16:57:03 | SUCCESS | 成功获取有效电费数据
2025-03-04 16:57:03 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 16:57:03 | DEBUG | 进入数据保存流程
2025-03-04 16:57:03 | INFO | ====== 程序正常结束 ======
2025-03-04 17:10:31 | INFO | ====== 程序启动 ======
2025-03-04 17:10:31 | INFO | ====== 主程序开始执行 ======
2025-03-04 17:10:31 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 17:10:31 | DEBUG | 第 1 次尝试请求接口
2025-03-04 17:10:32 | SUCCESS | 成功获取有效电费数据
2025-03-04 17:10:32 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 17:10:32 | DEBUG | 进入数据保存流程
2025-03-04 17:10:32 | INFO | ====== 程序正常结束 ======
2025-03-04 17:25:45 | INFO | ====== 程序启动 ======
2025-03-04 17:25:45 | INFO | ====== 主程序开始执行 ======
2025-03-04 17:25:45 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 17:25:45 | DEBUG | 第 1 次尝试请求接口
2025-03-04 17:25:46 | SUCCESS | 成功获取有效电费数据
2025-03-04 17:25:46 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 17:25:46 | DEBUG | 进入数据保存流程
2025-03-04 17:25:46 | INFO | ====== 程序正常结束 ======
2025-03-04 17:41:02 | INFO | ====== 程序启动 ======
2025-03-04 17:41:02 | INFO | ====== 主程序开始执行 ======
2025-03-04 17:41:02 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 17:41:02 | DEBUG | 第 1 次尝试请求接口
2025-03-04 17:41:03 | SUCCESS | 成功获取有效电费数据
2025-03-04 17:41:03 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 17:41:03 | DEBUG | 进入数据保存流程
2025-03-04 17:41:03 | INFO | ====== 程序正常结束 ======
2025-03-04 17:57:26 | INFO | ====== 程序启动 ======
2025-03-04 17:57:27 | INFO | ====== 主程序开始执行 ======
2025-03-04 17:57:27 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 17:57:27 | DEBUG | 第 1 次尝试请求接口
2025-03-04 17:57:27 | SUCCESS | 成功获取有效电费数据
2025-03-04 17:57:27 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 17:57:27 | DEBUG | 进入数据保存流程
2025-03-04 17:57:27 | INFO | ====== 程序正常结束 ======
2025-03-04 18:09:29 | INFO | ====== 程序启动 ======
2025-03-04 18:09:29 | INFO | ====== 主程序开始执行 ======
2025-03-04 18:09:29 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 18:09:29 | DEBUG | 第 1 次尝试请求接口
2025-03-04 18:09:30 | SUCCESS | 成功获取有效电费数据
2025-03-04 18:09:30 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 18:09:30 | DEBUG | 进入数据保存流程
2025-03-04 18:09:30 | INFO | ====== 程序正常结束 ======
2025-03-04 18:25:18 | INFO | ====== 程序启动 ======
2025-03-04 18:25:18 | INFO | ====== 主程序开始执行 ======
2025-03-04 18:25:18 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 18:25:18 | DEBUG | 第 1 次尝试请求接口
2025-03-04 18:25:19 | SUCCESS | 成功获取有效电费数据
2025-03-04 18:25:19 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 18:25:19 | DEBUG | 进入数据保存流程
2025-03-04 18:25:19 | INFO | ====== 程序正常结束 ======
2025-03-04 18:41:20 | INFO | ====== 程序启动 ======
2025-03-04 18:41:20 | INFO | ====== 主程序开始执行 ======
2025-03-04 18:41:20 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 18:41:20 | DEBUG | 第 1 次尝试请求接口
2025-03-04 18:41:21 | SUCCESS | 成功获取有效电费数据
2025-03-04 18:41:21 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 18:41:21 | DEBUG | 进入数据保存流程
2025-03-04 18:41:21 | INFO | ====== 程序正常结束 ======
2025-03-04 18:56:52 | INFO | ====== 程序启动 ======
2025-03-04 18:56:52 | INFO | ====== 主程序开始执行 ======
2025-03-04 18:56:52 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 18:56:52 | DEBUG | 第 1 次尝试请求接口
2025-03-04 18:56:53 | SUCCESS | 成功获取有效电费数据
2025-03-04 18:56:53 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 18:56:53 | DEBUG | 进入数据保存流程
2025-03-04 18:56:53 | INFO | ====== 程序正常结束 ======
2025-03-04 19:12:22 | INFO | ====== 程序启动 ======
2025-03-04 19:12:22 | INFO | ====== 主程序开始执行 ======
2025-03-04 19:12:22 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 19:12:22 | DEBUG | 第 1 次尝试请求接口
2025-03-04 19:12:23 | SUCCESS | 成功获取有效电费数据
2025-03-04 19:12:23 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 19:12:23 | DEBUG | 进入数据保存流程
2025-03-04 19:12:23 | INFO | ====== 程序正常结束 ======
2025-03-04 19:24:54 | INFO | ====== 程序启动 ======
2025-03-04 19:24:54 | INFO | ====== 主程序开始执行 ======
2025-03-04 19:24:54 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 19:24:54 | DEBUG | 第 1 次尝试请求接口
2025-03-04 19:24:55 | SUCCESS | 成功获取有效电费数据
2025-03-04 19:24:55 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 19:24:55 | DEBUG | 进入数据保存流程
2025-03-04 19:24:55 | INFO | ====== 程序正常结束 ======
2025-03-04 19:41:00 | INFO | ====== 程序启动 ======
2025-03-04 19:41:00 | INFO | ====== 主程序开始执行 ======
2025-03-04 19:41:00 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 19:41:00 | DEBUG | 第 1 次尝试请求接口
2025-03-04 19:41:01 | SUCCESS | 成功获取有效电费数据
2025-03-04 19:41:01 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 19:41:01 | DEBUG | 进入数据保存流程
2025-03-04 19:41:01 | INFO | ====== 程序正常结束 ======
2025-03-04 19:54:30 | INFO | ====== 程序启动 ======
2025-03-04 19:54:30 | INFO | ====== 主程序开始执行 ======
2025-03-04 19:54:30 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 19:54:30 | DEBUG | 第 1 次尝试请求接口
2025-03-04 19:54:31 | SUCCESS | 成功获取有效电费数据
2025-03-04 19:54:31 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 19:54:31 | DEBUG | 进入数据保存流程
2025-03-04 19:54:31 | INFO | ====== 程序正常结束 ======
2025-03-04 20:10:38 | INFO | ====== 程序启动 ======
2025-03-04 20:10:38 | INFO | ====== 主程序开始执行 ======
2025-03-04 20:10:38 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 20:10:38 | DEBUG | 第 1 次尝试请求接口
2025-03-04 20:10:39 | SUCCESS | 成功获取有效电费数据
2025-03-04 20:10:39 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 20:10:39 | DEBUG | 进入数据保存流程
2025-03-04 20:10:39 | INFO | ====== 程序正常结束 ======
2025-03-04 20:25:59 | INFO | ====== 程序启动 ======
2025-03-04 20:25:59 | INFO | ====== 主程序开始执行 ======
2025-03-04 20:25:59 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 20:25:59 | DEBUG | 第 1 次尝试请求接口
2025-03-04 20:25:59 | SUCCESS | 成功获取有效电费数据
2025-03-04 20:25:59 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 20:25:59 | DEBUG | 进入数据保存流程
2025-03-04 20:25:59 | INFO | ====== 程序正常结束 ======
2025-03-04 20:39:54 | INFO | ====== 程序启动 ======
2025-03-04 20:39:54 | INFO | ====== 主程序开始执行 ======
2025-03-04 20:39:54 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 20:39:54 | DEBUG | 第 1 次尝试请求接口
2025-03-04 20:39:55 | SUCCESS | 成功获取有效电费数据
2025-03-04 20:39:55 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 20:39:55 | DEBUG | 进入数据保存流程
2025-03-04 20:39:55 | INFO | ====== 程序正常结束 ======
2025-03-04 20:55:29 | INFO | ====== 程序启动 ======
2025-03-04 20:55:29 | INFO | ====== 主程序开始执行 ======
2025-03-04 20:55:29 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 20:55:29 | DEBUG | 第 1 次尝试请求接口
2025-03-04 20:55:30 | SUCCESS | 成功获取有效电费数据
2025-03-04 20:55:30 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 20:55:30 | DEBUG | 进入数据保存流程
2025-03-04 20:55:30 | INFO | ====== 程序正常结束 ======
2025-03-04 21:11:41 | INFO | ====== 程序启动 ======
2025-03-04 21:11:41 | INFO | ====== 主程序开始执行 ======
2025-03-04 21:11:41 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 21:11:41 | DEBUG | 第 1 次尝试请求接口
2025-03-04 21:11:42 | SUCCESS | 成功获取有效电费数据
2025-03-04 21:11:42 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 21:11:42 | DEBUG | 进入数据保存流程
2025-03-04 21:11:42 | INFO | ====== 程序正常结束 ======
2025-03-04 21:25:39 | INFO | ====== 程序启动 ======
2025-03-04 21:25:39 | INFO | ====== 主程序开始执行 ======
2025-03-04 21:25:39 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 21:25:39 | DEBUG | 第 1 次尝试请求接口
2025-03-04 21:25:42 | SUCCESS | 成功获取有效电费数据
2025-03-04 21:25:42 | SUCCESS | 成功获取电量数据: 457.70 度
2025-03-04 21:25:42 | DEBUG | 进入数据保存流程
2025-03-04 21:25:42 | INFO | ====== 程序正常结束 ======
2025-03-04 21:40:20 | INFO | ====== 程序启动 ======
2025-03-04 21:40:20 | INFO | ====== 主程序开始执行 ======
2025-03-04 21:40:20 | INFO | 开始查询电费数据，最大重试次数: 3
2025-03-04 21:40:20 | DEBUG | 第 1 次尝试请求接口
2025-03-04 21:40:21 | SUCCESS | 成功获取有效电费数据
2025-03-04 21:40:21 | SUCCESS | 成功获取电量数据: 456.70 度
2025-03-04 21:40:21 | DEBUG | 进入数据保存流程
2025-03-04 21:40:21 | INFO | 检测到电量变化: 457.7 -> 456.7
2025-03-04 21:40:24 | DEBUG | 启动图表生成子进程
2025-03-04 21:40:39 | ERROR | 图表生成失败 | 错误码: 1
2025-03-04 21:40:39 | INFO | ====== 程序正常结束 ======
2025-03-04 21:56:14 | INFO | ====== 程序启动 ======
